,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,products_per_dependent,trans_amt_per_dependent,trans_ct_per_dependent,trans_amt_per_products,trans_ct_per_products,avg_trans_amt,credit_util_rate,proportion_inactive_months,products_per_tenure,products_per_contacts,dependents_per_contacts,trans_ct_per_contacts,products_per_inactivity,dependents_per_inactivity,trans_ct_per_inactivity,trans_amt_per_credit_limit,age_per_tenure,trans_ct_per_tenure,trans_amt_per_tenure,total_spending,inactivity_contacts,education_income_levels,churn_flag
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,1.6666666,381.33334,14.0,228.8,8.4,27.238094,0.06122449,0.025641026,0.12820514,1.6666666,1.0,14.0,5.0,3.0,42.0,0.09014262,1.1538461,1.0769231,29.333334,1921,4,2,0
1,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,1.2,258.2,6.6,215.16667,5.5,39.121212,0.10465116,0.022727273,0.13636364,3.0,2.5,16.5,6.0,5.0,33.0,0.15637112,1.1136364,0.75,29.34091,2155,3,1,0
2,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,1.3333334,629.0,6.6666665,471.75,5.0,94.35,0.0,0.027777778,0.11111111,0.0,0.0,0.0,4.0,3.0,20.0,0.55207723,1.4166666,0.5555556,52.416668,1887,1,4,0
3,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.75,292.75,5.0,390.33334,6.6666665,58.55,0.7597344,0.11764706,0.0882353,3.0,4.0,20.0,0.75,1.0,5.0,0.35345608,1.1764706,0.5882353,34.441177,3688,5,0,0
4,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,1.6666666,272.0,9.333333,163.2,5.6,29.142857,0.0,0.04761905,0.23809524,0.0,0.0,0.0,5.0,3.0,28.0,0.17302799,1.9047619,1.3333334,38.857143,816,1,2,0
5,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,1.5,544.0,12.0,362.66666,8.0,45.333332,0.31097257,0.027777778,0.083333336,1.5,1.0,12.0,3.0,2.0,24.0,0.27132168,1.2222222,0.6666667,30.222221,2335,3,2,0
6,51,M,4,Graduate,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,1.5,332.5,7.75,221.66667,5.1666665,42.903225,0.065592766,0.02173913,0.13043478,2.0,1.3333334,10.333333,6.0,4.0,31.0,0.038532853,1.1086956,0.67391306,28.913044,3594,4,5,0
7,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0.0,0.0,0.0,769.0,18.0,42.72222,0.048003852,0.074074075,0.074074075,1.0,0.0,18.0,1.0,0.0,18.0,0.052886765,1.1851852,1.3333334,56.962963,2934,4,2,0
8,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,1.6666666,450.0,8.0,270.0,4.8,56.25,0.112607375,0.055555556,0.1388889,0.0,0.0,0.0,2.5,1.5,12.0,0.06039728,1.0277778,0.6666667,37.5,3867,2,2,0
9,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,3.0,720.5,16.0,240.16667,5.3333335,45.03125,0.1438744,0.083333336,0.16666667,2.0,0.6666667,10.666667,2.0,0.6666667,10.666667,0.12362732,1.3333334,0.8888889,40.02778,3118,6,4,0
10,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,1.0,240.2,8.4,240.2,8.4,28.595238,0.21739775,0.09677419,0.16129032,2.5,2.5,21.0,1.6666666,1.6666666,14.0,0.17797866,1.3548387,1.3548387,38.741936,2668,5,4,0
11,65,M,1,Graduate,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,6.0,1314.0,26.0,219.0,4.3333335,50.53846,0.17449148,0.037037037,0.11111111,2.0,0.33333334,8.666667,3.0,0.5,13.0,0.14447498,1.2037038,0.4814815,24.333334,2901,5,2,0
12,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,3.0,1539.0,17.0,513.0,5.6666665,90.52941,0.0,0.16666667,0.083333336,0.0,0.0,0.0,0.5,0.16666667,2.8333333,0.13096757,1.5555556,0.4722222,42.75,1539,6,3,0
13,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,1.6666666,437.0,11.0,262.2,6.6,39.727272,0.1949222,0.033333335,0.16666667,1.6666666,1.0,11.0,5.0,3.0,33.0,0.15338716,1.1666666,1.1,43.7,2977,4,3,0
14,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,2.5,785.0,14.5,314.0,5.8,54.13793,0.27914613,0.041666668,0.104166664,2.5,1.0,14.5,2.5,1.0,14.5,0.6444992,1.1875,0.6041667,32.708332,2250,4,1,0
15,44,M,4,Graduate,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,1.25,337.0,6.75,269.6,5.4,49.925926,0.22957015,0.027027028,0.13513513,2.5,2.0,13.5,5.0,4.0,27.0,0.31837505,1.1891892,0.7297297,36.432434,2320,3,4,0
16,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,1.5,417.75,6.75,278.5,4.5,61.88889,0.077781804,0.055555556,0.16666667,2.0,1.3333334,9.0,3.0,2.0,13.5,0.055026837,1.3333334,0.75,46.416668,4033,5,5,0
17,41,M,3,Graduate,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,1.3333334,342.66666,7.0,257.0,5.25,48.95238,0.09538234,0.11764706,0.11764706,4.0,3.0,21.0,1.0,0.75,5.25,0.07595124,1.2058823,0.61764705,30.235294,2319,5,4,0
18,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,2.0,1336.0,30.0,668.0,15.0,44.533333,0.78828686,0.035714287,0.035714287,0.6666667,0.33333334,10.0,1.0,0.5,15.0,0.41841528,1.0892857,0.53571427,23.857143,3853,5,1,0
19,45,F,2,Graduate,Married,Less than $40K,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,3.0,603.5,10.5,201.16667,3.5,57.47619,0.079958536,0.027027028,0.16216215,3.0,1.0,10.5,6.0,2.0,21.0,0.08341396,1.2162162,0.5675676,32.62162,2364,3,1,0
20,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,5.0,1178.0,27.0,235.6,5.4,43.62963,0.08580009,0.04761905,0.11904762,0.0,0.0,0.0,2.5,0.5,13.5,0.05615139,1.1190476,0.64285713,28.047619,2978,2,4,0
21,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.0,0.0,0.0,346.0,8.0,43.25,0.0,0.06122449,0.040816326,0.6666667,0.0,5.3333335,0.6666667,0.0,5.3333335,0.48112354,1.2653061,0.3265306,14.122449,692,6,1,1
22,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,1.3333334,310.33334,6.0,232.75,4.5,51.72222,0.15212528,0.060606062,0.121212125,4.0,3.0,18.0,2.0,1.5,9.0,0.2082774,1.2424242,0.54545456,28.212122,1611,3,1,0
23,47,F,4,Graduate,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.75,281.5,5.75,375.33334,7.6666665,48.95652,0.6260032,0.083333336,0.083333336,1.5,2.0,11.5,1.0,1.3333334,7.6666665,0.4518459,1.3055556,0.6388889,31.277779,2686,5,1,0
24,54,M,2,Graduate,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,2.0,555.0,10.5,277.5,5.25,52.857143,0.0,0.04761905,0.0952381,1.3333334,0.6666667,7.0,2.0,1.0,10.5,0.090857,1.2857143,0.5,26.428572,1110,5,4,0
25,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,2.0,350.33334,7.3333335,175.16667,3.6666667,47.772728,0.21485582,0.035714287,0.21428572,3.0,1.5,11.0,6.0,3.0,22.0,0.13529865,1.4642857,0.78571427,37.535713,2720,3,1,0
26,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,4.0,1197.0,23.0,299.25,5.75,52.04348,0.09293831,0.02173913,0.08695652,2.0,0.5,11.5,4.0,1.0,23.0,0.08096591,1.2826087,0.5,26.02174,2571,3,1,0
27,63,M,1,Graduate,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,3.0,1904.0,40.0,634.6667,13.333333,47.6,0.098874204,0.05357143,0.05357143,1.5,0.5,20.0,1.0,0.33333334,13.333333,0.18639256,1.125,0.71428573,34.0,2914,5,3,0
28,44,F,3,Uneducated,Single,Less than $40K,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,1.6666666,350.66666,6.0,210.4,3.6,58.444443,0.0,0.05882353,0.14705883,2.5,1.5,9.0,2.5,1.5,9.0,0.10415842,1.2941177,0.5294118,30.941177,1052,4,0,0
29,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,1.5,261.25,9.5,174.16667,6.3333335,27.5,0.2846395,0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.21839081,1.1190476,0.9047619,24.880953,2407,0,1,0
30,53,M,3,Graduate,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,1.0,346.0,8.333333,346.0,8.333333,41.52,0.6578278,0.060606062,0.09090909,1.0,1.0,8.333333,1.5,1.5,12.5,0.37704322,1.6060606,0.75757575,31.454546,2849,5,4,0
31,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,1.0,798.0,13.0,798.0,13.0,61.384617,0.68951446,0.104166664,0.041666668,2.0,2.0,26.0,0.4,0.4,5.2,0.6511628,1.1041666,0.5416667,33.25,3286,6,2,0
